epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,407.592,1.12851,3.83774,0.04081,0.02844,0.44858,0.06862,0.04844,1.09615,3.26189,0.03993,0.000333163,0.000333163,0.0670168
2,771.588,1.06928,2.96809,0.03765,0.39657,0.11242,0.12809,0.09432,0.98436,2.86932,0.03573,0.00066649,0.00066649,0.0340168
3,1125.24,1.00495,2.64276,0.03505,0.23392,0.25851,0.19562,0.15115,0.91091,2.59454,0.03197,0.000999791,0.000999791,0.00101679
4,1470.9,0.96012,2.43239,0.03318,0.39865,0.30984,0.30179,0.24406,0.84225,2.29229,0.02957,0.000999912,0.000999912,0.000999912
5,1813.85,0.91842,2.24323,0.0316,0.49038,0.2876,0.37496,0.29001,0.89216,2.21561,0.03139,0.000999844,0.000999844,0.000999844
6,2156.33,0.90238,2.07817,0.03092,0.33201,0.41639,0.38959,0.3095,0.86598,2.19528,0.02914,0.000999756,0.000999756,0.000999756
7,2891.21,0.88306,1.93215,0.03005,0.39996,0.40612,0.45387,0.37085,0.84022,1.91791,0.02835,0.000999648,0.000999648,0.000999648
8,3278.83,0.86,1.79888,0.02909,0.50155,0.41301,0.47579,0.40054,0.77396,1.78658,0.02654,0.000999521,0.000999521,0.000999521
9,3663.68,0.84395,1.6686,0.02834,0.44378,0.53177,0.52241,0.42367,0.84207,1.75259,0.02879,0.000999375,0.000999375,0.000999375
10,4049.14,0.8265,1.57008,0.02779,0.44719,0.49687,0.53697,0.44411,0.76233,1.71344,0.02624,0.000999209,0.000999209,0.000999209
11,4436.82,0.81649,1.47391,0.02735,0.40379,0.51208,0.52458,0.43421,0.75439,1.66492,0.02607,0.000999023,0.000999023,0.000999023
12,4820.39,0.80555,1.37435,0.02691,0.6278,0.51041,0.60747,0.50826,0.78106,1.43428,0.0267,0.000998818,0.000998818,0.000998818
13,5205.51,0.79098,1.2816,0.0263,0.48779,0.57729,0.6237,0.52263,0.74266,1.40305,0.02522,0.000998594,0.000998594,0.000998594
14,5589.22,0.77813,1.20425,0.0259,0.65137,0.59246,0.67539,0.56784,0.73586,1.28139,0.02473,0.00099835,0.00099835,0.00099835
15,5976.25,0.7667,1.13301,0.02533,0.77426,0.53718,0.6821,0.57067,0.74965,1.2391,0.02588,0.000998086,0.000998086,0.000998086
16,6357.56,0.76105,1.08398,0.02514,0.58592,0.61832,0.68977,0.5674,0.75473,1.29227,0.02584,0.000997803,0.000997803,0.000997803
17,6728.96,0.74854,1.02111,0.02484,0.63968,0.59008,0.64595,0.53947,0.73537,1.31101,0.02534,0.000997501,0.000997501,0.000997501
18,7114.43,0.74177,0.96441,0.02464,0.64216,0.62789,0.72022,0.59481,0.75678,1.15492,0.02583,0.000997179,0.000997179,0.000997179
19,7493.5,0.73047,0.92069,0.02422,0.68063,0.61796,0.71388,0.60101,0.73329,1.20612,0.02489,0.000996838,0.000996838,0.000996838
20,7863.95,0.7211,0.8708,0.02364,0.56379,0.70056,0.72626,0.59474,0.73653,1.12001,0.025,0.000996477,0.000996477,0.000996477
21,8235.46,0.71478,0.84065,0.02363,0.77007,0.55818,0.7248,0.59627,0.73542,1.16071,0.02503,0.000996097,0.000996097,0.000996097
22,8606.62,0.70232,0.80457,0.02308,0.72963,0.6454,0.73718,0.62181,0.72595,1.047,0.02462,0.000995697,0.000995697,0.000995697
23,8980.3,0.70032,0.75294,0.02302,0.82881,0.62082,0.76303,0.63361,0.70512,1.1276,0.02399,0.000995278,0.000995278,0.000995278
24,9351.08,0.68767,0.74601,0.0225,0.7848,0.6076,0.76404,0.62851,0.71375,1.07582,0.02451,0.00099484,0.00099484,0.00099484
25,9721.62,0.6785,0.70721,0.02224,0.79443,0.62186,0.74799,0.62491,0.72175,1.09128,0.02448,0.000994383,0.000994383,0.000994383
26,10092.6,0.67301,0.67927,0.0219,0.6448,0.70822,0.76054,0.63027,0.70215,1.07785,0.02399,0.000993906,0.000993906,0.000993906
27,10467.4,0.66778,0.64707,0.02176,0.67669,0.71807,0.77265,0.64461,0.71371,1.03484,0.0242,0.00099341,0.00099341,0.00099341
28,10838.5,0.66036,0.62834,0.02143,0.73768,0.70088,0.76889,0.63865,0.73638,1.02767,0.02468,0.000992894,0.000992894,0.000992894
29,11209.3,0.65615,0.60281,0.02131,0.83501,0.62587,0.76567,0.63994,0.72452,1.0374,0.02465,0.000992359,0.000992359,0.000992359
30,11573.9,0.64991,0.58244,0.02123,0.74695,0.66142,0.75064,0.6235,0.70386,1.03986,0.02399,0.000991805,0.000991805,0.000991805
31,11939.3,0.64158,0.5633,0.02088,0.75368,0.66489,0.74354,0.62447,0.70894,1.12264,0.02418,0.000991232,0.000991232,0.000991232
32,12309.9,0.63824,0.54124,0.02068,0.872,0.61546,0.76942,0.63595,0.70862,1.04852,0.02423,0.00099064,0.00099064,0.00099064
33,12681.3,0.63156,0.52209,0.02051,0.89529,0.61454,0.76845,0.65215,0.68958,1.008,0.02361,0.000990028,0.000990028,0.000990028
34,13052.5,0.62375,0.50977,0.02023,0.79955,0.63194,0.75067,0.62292,0.70855,1.05478,0.02427,0.000989398,0.000989398,0.000989398
35,13422.4,0.6138,0.50992,0.01974,0.76765,0.67349,0.77685,0.6478,0.69051,1.00149,0.02363,0.000988748,0.000988748,0.000988748
36,13796.1,0.61768,0.48493,0.01997,0.73698,0.71405,0.76943,0.6437,0.69778,1.02905,0.02372,0.000988079,0.000988079,0.000988079
37,14167.1,0.60906,0.47196,0.01973,0.71948,0.71527,0.77036,0.64398,0.70573,0.97453,0.02396,0.000987391,0.000987391,0.000987391
38,14537.5,0.6007,0.47104,0.01941,0.88005,0.64019,0.76317,0.63699,0.68855,1.06782,0.02354,0.000986684,0.000986684,0.000986684
39,14908.2,0.60413,0.45299,0.01951,0.82779,0.64558,0.77659,0.64506,0.69028,1.03675,0.02357,0.000985958,0.000985958,0.000985958
40,15279.2,0.59555,0.4535,0.01919,0.67604,0.71206,0.75785,0.63798,0.67493,0.98699,0.02319,0.000985213,0.000985213,0.000985213
41,15650.3,0.5914,0.44044,0.01909,0.77305,0.65752,0.75234,0.62724,0.67802,1.04818,0.02322,0.000984449,0.000984449,0.000984449
42,16021.7,0.58448,0.42577,0.0188,0.81879,0.63436,0.76956,0.64685,0.6752,1.02645,0.02316,0.000983666,0.000983666,0.000983666
43,16393.7,0.58529,0.41302,0.01879,0.83176,0.63251,0.76287,0.64493,0.66979,1.01658,0.02277,0.000982864,0.000982864,0.000982864
44,16778.7,0.5771,0.40877,0.01848,0.84206,0.62664,0.77166,0.65507,0.67412,1.03601,0.02299,0.000982043,0.000982043,0.000982043
45,17171.7,0.57772,0.4029,0.01857,0.82693,0.63085,0.77444,0.66086,0.66962,1.01321,0.02293,0.000981204,0.000981204,0.000981204
46,17552.8,0.56422,0.39595,0.01813,0.67879,0.73581,0.78007,0.66248,0.67413,1.03343,0.02299,0.000980345,0.000980345,0.000980345
47,17915.3,0.56289,0.38127,0.01807,0.77649,0.66461,0.75249,0.64215,0.67888,1.03324,0.02326,0.000979468,0.000979468,0.000979468
48,18269.9,0.5626,0.394,0.01796,0.84743,0.64586,0.76763,0.64983,0.67852,1.03466,0.02326,0.000978572,0.000978572,0.000978572
49,18624,0.55581,0.37542,0.01771,0.79637,0.65706,0.76549,0.64671,0.67489,1.04894,0.02309,0.000977658,0.000977658,0.000977658
50,18979.7,0.55776,0.37007,0.01771,0.79047,0.65776,0.77676,0.6529,0.68633,1.03616,0.02342,0.000976725,0.000976725,0.000976725
51,19359.4,0.55063,0.35961,0.01762,0.80642,0.65974,0.77792,0.65821,0.6852,1.03066,0.0234,0.000975773,0.000975773,0.000975773
52,19742,0.54323,0.34108,0.01733,0.73835,0.72752,0.78472,0.66248,0.6818,1.02871,0.02334,0.000974803,0.000974803,0.000974803
53,20121.8,0.53868,0.35113,0.01717,0.75248,0.70511,0.78324,0.66349,0.68355,1.031,0.02335,0.000973814,0.000973814,0.000973814
54,20476.8,0.53683,0.34535,0.01716,0.76538,0.69997,0.78071,0.65702,0.67867,1.02905,0.02319,0.000972806,0.000972806,0.000972806
55,502.992,0.51779,0.29827,0.01657,0.78295,0.71458,0.78403,0.65952,0.67855,1.02566,0.02306,0.00097178,0.00097178,0.00097178
56,986.911,0.53105,0.33372,0.01686,0.77075,0.71497,0.78501,0.65781,0.67115,1.00978,0.02295,0.000970736,0.000970736,0.000970736
57,1463.1,0.53576,0.34863,0.01707,0.73342,0.71419,0.77898,0.65816,0.66816,1.01878,0.02285,0.000969673,0.000969673,0.000969673
58,1940.24,0.5366,0.33413,0.01712,0.70369,0.72737,0.77848,0.65886,0.66809,1.02517,0.02285,0.000968592,0.000968592,0.000968592
59,2416.88,0.52922,0.32984,0.01696,0.7251,0.72475,0.78303,0.66222,0.6664,1.02629,0.02283,0.000967493,0.000967493,0.000967493
